"step","x_pos","y_pos","agent","status"
1,0.623379441676661,1,"one","safe"
2,0.619584186185313,0.980612244897959,"one","safe"
3,0.615788930693964,0.961224489795918,"one","safe"
4,0.611993675202616,0.941836734693878,"one","safe"
5,0.608198419711267,0.922448979591837,"one","safe"
6,0.604403164219919,0.903061224489796,"one","safe"
7,0.600607908728571,0.883673469387755,"one","safe"
8,0.596812653237222,0.864285714285714,"one","safe"
9,0.593017397745874,0.844897959183673,"one","safe"
10,0.589222142254525,0.825510204081633,"one","safe"
11,0.585426886763177,0.806122448979592,"one","safe"
12,0.581631631271828,0.786734693877551,"one","safe"
13,0.57783637578048,0.76734693877551,"one","safe"
14,0.574041120289131,0.747959183673469,"one","safe"
15,0.570245864797783,0.728571428571429,"one","safe"
16,0.566450609306434,0.709183673469388,"one","safe"
17,0.562655353815086,0.689795918367347,"one","safe"
18,0.558860098323737,0.670408163265306,"one","safe"
19,0.555064842832389,0.651020408163265,"one","safe"
20,0.55126958734104,0.631632653061225,"one","safe"
21,0.547474331849692,0.612244897959184,"one","safe"
22,0.543679076358343,0.592857142857143,"one","safe"
23,0.539883820866995,0.573469387755102,"one","safe"
24,0.536088565375646,0.554081632653061,"one","safe"
25,0.532293309884298,0.53469387755102,"one","evade"
26,0.528498054392949,0.51530612244898,"one","evade"
27,0.524702798901601,0.495918367346939,"one","evade"
28,0.520907543410252,0.476530612244898,"one","evade"
29,0.517112287918904,0.457142857142857,"one","evade"
30,0.513317032427556,0.437755102040816,"one","evade"
31,0.509521776936207,0.418367346938776,"one","evade"
32,0.505726521444859,0.398979591836735,"one","evade"
33,0.50193126595351,0.379591836734694,"one","evade"
34,0.498136010462162,0.360204081632653,"one","evade"
35,0.494340754970813,0.340816326530612,"one","evade"
36,0.490545499479465,0.321428571428571,"one","evade"
37,0.486750243988116,0.302040816326531,"one","evade"
38,0.482954988496768,0.28265306122449,"one","evade"
39,0.479159733005419,0.263265306122449,"one","evade"
40,0.475364477514071,0.243877551020408,"one","evade"
41,0.471569222022722,0.224489795918367,"one","evade"
42,0.467773966531374,0.205102040816327,"one","evade"
43,0.463978711040025,0.185714285714286,"one","evade"
44,0.460183455548677,0.166326530612245,"one","evade"
45,0.456388200057328,0.146938775510204,"one","evade"
46,0.45259294456598,0.127551020408163,"one","evade"
47,0.448797689074631,0.108163265306122,"one","evade"
48,0.445002433583283,0.0887755102040816,"one","evade"
49,0.441207178091934,0.0693877551020408,"one","evade"
50,0.437411922600586,0.05,"one","evade"
1,0.760207070192943,0.339663837570697,"two","random"
2,0.780207070192943,0.359663837570697,"two","random"
3,0.760207070192943,0.339663837570697,"two","random"
4,0.740207070192943,0.319663837570697,"two","random"
5,0.720207070192943,0.299663837570697,"two","random"
6,0.700207070192943,0.319663837570697,"two","random"
7,0.720207070192943,0.299663837570697,"two","random"
8,0.700207070192943,0.279663837570697,"two","random"
9,0.680207070192943,0.299663837570697,"two","random"
10,0.700207070192943,0.279663837570697,"two","random"
11,0.680207070192943,0.299663837570697,"two","random"
12,0.660207070192943,0.279663837570697,"two","random"
13,0.680207070192943,0.259663837570697,"two","random"
14,0.660207070192943,0.239663837570697,"two","random"
15,0.680207070192943,0.219663837570697,"two","random"
16,0.660207070192943,0.199663837570697,"two","random"
17,0.640207070192943,0.179663837570697,"two","random"
18,0.620207070192943,0.159663837570697,"two","random"
19,0.600207070192943,0.139663837570697,"two","random"
20,0.620207070192943,0.119663837570697,"two","random"
21,0.600207070192943,0.0996638375706971,"two","random"
22,0.580207070192943,0.079663837570697,"two","random"
23,0.560207070192943,0.059663837570697,"two","random"
24,0.540207070192943,0.039663837570697,"two","random"
25,0.520207070192943,0.019663837570697,"two","pursue"
26,0.52080115546919,0.0396550121906274,"two","pursue"
27,0.521265323428278,0.0596496251677709,"two","pursue"
28,0.521582747628524,0.0796471060560502,"two","pursue"
29,0.521732648134607,0.0996465442941177,"two","pursue"
30,0.52168886264102,0.119646496364824,"two","pursue"
31,0.521417680220496,0.139644657782684,"two","pursue"
32,0.520874414535565,0.159637277981037,"two","pursue"
33,0.519997691953573,0.179618052678586,"two","pursue"
34,0.518699281608195,0.199575861440447,"two","pursue"
35,0.516844363753507,0.219489657656949,"two","pursue"
36,0.51420850527571,0.239315203048817,"two","pursue"
37,0.510366627732395,0.258942734145269,"two","pursue"
38,0.504319381521673,0.278006595592177,"two","pursue"
39,0.492516567461914,0.294152603775958,"two","pursue"
40,0.479729755592633,0.278774130437567,"two","pursue"
41,0.478995157094734,0.258787625864559,"two","pursue"
42,0.474263321071873,0.239355443077935,"two","pursue"
43,0.470696820370724,0.219676010343511,"two","pursue"
44,0.466764070550388,0.200066485136341,"two","pursue"
45,0.462953724372775,0.180432808404594,"two","pursue"
46,0.459099631630424,0.160807672248802,"two","pursue"
47,0.455262191480628,0.141179273101222,"two","pursue"
48,0.451418006743849,0.121552193753812,"two","pursue"
49,0.447576723152776,0.101924546406946,"two","pursue"
50,0.443734115975645,0.0822971581425266,"two","pursue"
