"step","x_pos","y_pos","agent","status"
1,0.825511928880587,1,"one","safe"
2,0.812776508057557,0.980612244897959,"one","safe"
3,0.800041087234526,0.961224489795918,"one","cutoff"
4,0.787305666411495,0.941836734693878,"one","cutoff"
5,0.774570245588464,0.922448979591837,"one","cutoff"
6,0.761834824765434,0.903061224489796,"one","cutoff"
7,0.749099403942403,0.883673469387755,"one","cutoff"
8,0.736363983119372,0.864285714285714,"one","cutoff"
9,0.723628562296342,0.844897959183673,"one","cutoff"
10,0.710893141473311,0.825510204081633,"one","cutoff"
11,0.69815772065028,0.806122448979592,"one","cutoff"
12,0.685422299827249,0.786734693877551,"one","cutoff"
13,0.672686879004219,0.76734693877551,"one","cutoff"
14,0.659951458181188,0.747959183673469,"one","cutoff"
15,0.647216037358157,0.728571428571429,"one","cutoff"
16,0.634480616535127,0.709183673469388,"one","cutoff"
17,0.621745195712096,0.689795918367347,"one","cutoff"
18,0.609009774889065,0.670408163265306,"one","cutoff"
19,0.596274354066034,0.651020408163265,"one","cutoff"
20,0.583538933243004,0.631632653061225,"one","cutoff"
21,0.570803512419973,0.612244897959184,"one","cutoff"
22,0.558068091596942,0.592857142857143,"one","cutoff"
23,0.545332670773912,0.573469387755102,"one","cutoff"
24,0.532597249950881,0.554081632653061,"one","cutoff"
25,0.51986182912785,0.53469387755102,"one","cutoff"
26,0.50712640830482,0.51530612244898,"one","cutoff"
27,0.494390987481789,0.495918367346939,"one","cutoff"
28,0.481655566658758,0.476530612244898,"one","cutoff"
29,0.468920145835727,0.457142857142857,"one","cutoff"
30,0.456184725012697,0.437755102040816,"one","cutoff"
31,0.443449304189666,0.418367346938776,"one","cutoff"
32,0.430713883366635,0.398979591836735,"one","cutoff"
33,0.417978462543605,0.379591836734694,"one","cutoff"
34,0.405243041720574,0.360204081632653,"one","cutoff"
35,0.392507620897543,0.340816326530612,"one","cutoff"
36,0.379772200074513,0.321428571428571,"one","cutoff"
37,0.367036779251482,0.302040816326531,"one","cutoff"
38,0.354301358428451,0.28265306122449,"one","cutoff"
39,0.34156593760542,0.263265306122449,"one","cutoff"
40,0.32883051678239,0.243877551020408,"one","cutoff"
41,0.316095095959359,0.224489795918367,"one","cutoff"
42,0.303359675136328,0.205102040816327,"one","cutoff"
43,0.290624254313298,0.185714285714286,"one","cutoff"
44,0.277888833490267,0.166326530612245,"one","cutoff"
45,0.265153412667236,0.146938775510204,"one","cutoff"
46,0.252417991844205,0.127551020408163,"one","cutoff"
47,0.239682571021175,0.108163265306122,"one","cutoff"
48,0.226947150198144,0.0887755102040816,"one","cutoff"
49,0.214211729375113,0.0693877551020408,"one","cutoff"
50,0.201476308552083,0.05,"one","cutoff"
1,0.954347061148534,0.656030606012791,"two","random"
2,0.934347061148534,0.676030606012791,"two","random"
3,0.914347061148534,0.696030606012791,"two","cutoff"
4,0.898849870874698,0.681986462403818,"two","cutoff"
5,0.883352680600862,0.667942318794844,"two","cutoff"
6,0.867855490327027,0.65389817518587,"two","cutoff"
7,0.852358300053191,0.639854031576896,"two","cutoff"
8,0.836861109779355,0.625809887967923,"two","cutoff"
9,0.821363919505519,0.611765744358949,"two","cutoff"
10,0.805866729231683,0.597721600749975,"two","cutoff"
11,0.790369538957847,0.583677457141001,"two","cutoff"
12,0.774872348684011,0.569633313532028,"two","cutoff"
13,0.759375158410175,0.555589169923054,"two","cutoff"
14,0.743877968136339,0.54154502631408,"two","cutoff"
15,0.728380777862504,0.527500882705106,"two","cutoff"
16,0.712883587588668,0.513456739096133,"two","cutoff"
17,0.697386397314832,0.499412595487159,"two","cutoff"
18,0.681889207040996,0.485368451878185,"two","cutoff"
19,0.66639201676716,0.471324308269211,"two","cutoff"
20,0.650894826493324,0.457280164660238,"two","cutoff"
21,0.635397636219488,0.443236021051264,"two","cutoff"
22,0.619900445945652,0.42919187744229,"two","cutoff"
23,0.604403255671816,0.415147733833317,"two","cutoff"
24,0.588906065397981,0.401103590224343,"two","cutoff"
25,0.573408875124145,0.387059446615369,"two","cutoff"
26,0.557911684850309,0.373015303006395,"two","cutoff"
27,0.542414494576473,0.358971159397422,"two","cutoff"
28,0.526917304302637,0.344927015788448,"two","cutoff"
29,0.511420114028801,0.330882872179474,"two","cutoff"
30,0.495922923754965,0.316838728570501,"two","cutoff"
31,0.480425733481129,0.302794584961527,"two","cutoff"
32,0.464928543207293,0.288750441352553,"two","cutoff"
33,0.449431352933457,0.274706297743579,"two","cutoff"
34,0.433934162659621,0.260662154134606,"two","cutoff"
35,0.418436972385786,0.246618010525632,"two","cutoff"
36,0.40293978211195,0.232573866916658,"two","cutoff"
37,0.387442591838114,0.218529723307685,"two","cutoff"
38,0.371945401564278,0.204485579698711,"two","cutoff"
39,0.356448211290442,0.190441436089737,"two","cutoff"
40,0.340951021016606,0.176397292480763,"two","cutoff"
41,0.32545383074277,0.16235314887179,"two","cutoff"
42,0.309956640468934,0.148309005262816,"two","cutoff"
43,0.294459450195098,0.134264861653842,"two","cutoff"
44,0.278962259921262,0.120220718044869,"two","cutoff"
45,0.263465069647426,0.106176574435895,"two","cutoff"
46,0.24796787937359,0.0921324308269212,"two","cutoff"
47,0.232470689099754,0.0780882872179475,"two","cutoff"
48,0.216973498825919,0.0640441436089738,"two","cutoff"
49,0.201476308552083,0.05,"two","cutoff"
50,0.201476308552083,0.05,"two","cutoff"
