"step","x_pos","y_pos","agent","status"
1,0,0.0335462696384639,"one","safe"
2,0.0193877551020408,0.0453087156541094,"one","safe"
3,0.0387755102040816,0.057071161669755,"one","safe"
4,0.0581632653061225,0.0688336076854006,"one","safe"
5,0.0775510204081633,0.0805960537010462,"one","safe"
6,0.0969387755102041,0.0923584997166917,"one","safe"
7,0.116326530612245,0.104120945732337,"one","safe"
8,0.135714285714286,0.115883391747983,"one","safe"
9,0.155102040816327,0.127645837763628,"one","safe"
10,0.174489795918367,0.139408283779274,"one","safe"
11,0.193877551020408,0.15117072979492,"one","safe"
12,0.213265306122449,0.162933175810565,"one","safe"
13,0.23265306122449,0.174695621826211,"one","safe"
14,0.252040816326531,0.186458067841856,"one","safe"
15,0.271428571428571,0.198220513857502,"one","safe"
16,0.290816326530612,0.209982959873148,"one","safe"
17,0.310204081632653,0.221745405888793,"one","safe"
18,0.329591836734694,0.233507851904439,"one","safe"
19,0.348979591836735,0.245270297920084,"one","safe"
20,0.368367346938775,0.25703274393573,"one","safe"
21,0.387755102040816,0.268795189951375,"one","safe"
22,0.407142857142857,0.280557635967021,"one","safe"
23,0.426530612244898,0.292320081982667,"one","safe"
24,0.445918367346939,0.304082527998312,"one","safe"
25,0.46530612244898,0.315844974013958,"one","safe"
26,0.48469387755102,0.327607420029603,"one","safe"
27,0.504081632653061,0.339369866045249,"one","safe"
28,0.523469387755102,0.351132312060894,"one","safe"
29,0.542857142857143,0.36289475807654,"one","safe"
30,0.562244897959184,0.374657204092186,"one","safe"
31,0.581632653061224,0.386419650107831,"one","safe"
32,0.601020408163265,0.398182096123477,"one","safe"
33,0.620408163265306,0.409944542139122,"one","safe"
34,0.639795918367347,0.421706988154768,"one","safe"
35,0.659183673469388,0.433469434170414,"one","safe"
36,0.678571428571429,0.445231880186059,"one","safe"
37,0.697959183673469,0.456994326201705,"one","safe"
38,0.71734693877551,0.46875677221735,"one","safe"
39,0.736734693877551,0.480519218232996,"one","safe"
40,0.756122448979592,0.492281664248641,"one","safe"
41,0.775510204081633,0.504044110264287,"one","safe"
42,0.794897959183673,0.515806556279933,"one","safe"
43,0.814285714285714,0.527569002295578,"one","safe"
44,0.833673469387755,0.539331448311224,"one","safe"
45,0.853061224489796,0.551093894326869,"one","safe"
46,0.872448979591837,0.562856340342515,"one","safe"
47,0.891836734693878,0.57461878635816,"one","safe"
48,0.911224489795918,0.586381232373806,"one","safe"
49,0.930612244897959,0.598143678389452,"one","safe"
50,0.95,0.609906124405097,"one","safe"
1,0.946545336628333,0.050560203846544,"two","random"
2,0.926545336628333,0.030560203846544,"two","random"
3,0.946545336628333,0.010560203846544,"two","random"
4,0.926545336628333,0.030560203846544,"two","random"
5,0.906545336628333,0.010560203846544,"two","random"
6,0.886545336628333,0.030560203846544,"two","random"
7,0.866545336628333,0.010560203846544,"two","random"
8,0.886545336628333,0.030560203846544,"two","random"
9,0.906545336628333,0.050560203846544,"two","random"
10,0.886545336628333,0.030560203846544,"two","random"
11,0.866545336628333,0.010560203846544,"two","random"
12,0.846545336628333,-0.00943979615345597,"two","random"
13,0.866545336628333,-0.029439796153456,"two","random"
14,0.886545336628333,-0.049439796153456,"two","random"
15,0.866545336628333,-0.029439796153456,"two","random"
16,0.846545336628333,-0.00943979615345598,"two","random"
17,0.866545336628333,-0.029439796153456,"two","random"
18,0.846545336628333,-0.00943979615345598,"two","random"
19,0.826545336628333,0.010560203846544,"two","random"
20,0.806545336628333,-0.00943979615345598,"two","random"
21,0.786545336628333,-0.029439796153456,"two","random"
22,0.806545336628333,-0.049439796153456,"two","random"
23,0.826545336628333,-0.029439796153456,"two","random"
24,0.846545336628333,-0.049439796153456,"two","random"
25,0.826545336628333,-0.069439796153456,"two","random"
26,0.806545336628333,-0.089439796153456,"two","random"
27,0.826545336628333,-0.109439796153456,"two","random"
28,0.846545336628333,-0.089439796153456,"two","random"
29,0.866545336628333,-0.069439796153456,"two","random"
30,0.886545336628333,-0.089439796153456,"two","random"
31,0.866545336628333,-0.109439796153456,"two","random"
32,0.886545336628333,-0.129439796153456,"two","random"
33,0.906545336628333,-0.149439796153456,"two","random"
34,0.886545336628333,-0.129439796153456,"two","random"
35,0.866545336628333,-0.109439796153456,"two","random"
36,0.846545336628333,-0.129439796153456,"two","random"
37,0.866545336628333,-0.149439796153456,"two","random"
38,0.886545336628333,-0.169439796153456,"two","random"
39,0.866545336628333,-0.149439796153456,"two","random"
40,0.846545336628333,-0.169439796153456,"two","random"
41,0.866545336628333,-0.189439796153456,"two","random"
42,0.886545336628333,-0.209439796153456,"two","random"
43,0.866545336628333,-0.229439796153456,"two","random"
44,0.886545336628333,-0.209439796153456,"two","random"
45,0.866545336628333,-0.229439796153456,"two","random"
46,0.886545336628333,-0.249439796153456,"two","random"
47,0.866545336628333,-0.269439796153456,"two","random"
48,0.886545336628333,-0.289439796153456,"two","random"
49,0.906545336628333,-0.269439796153456,"two","random"
50,0.926545336628333,-0.249439796153456,"two","random"
