"step","x_pos","y_pos","agent","status"
1,0.76785546913743,0,"one","safe"
2,0.758038802861892,0.0193877551020408,"one","safe"
3,0.748222136586353,0.0387755102040816,"one","safe"
4,0.738405470310815,0.0581632653061225,"one","safe"
5,0.728588804035276,0.0775510204081633,"one","safe"
6,0.718772137759738,0.0969387755102041,"one","safe"
7,0.7089554714842,0.116326530612245,"one","safe"
8,0.699138805208661,0.135714285714286,"one","safe"
9,0.689322138933123,0.155102040816327,"one","safe"
10,0.679505472657584,0.174489795918367,"one","safe"
11,0.669688806382046,0.193877551020408,"one","safe"
12,0.659872140106508,0.213265306122449,"one","safe"
13,0.650055473830969,0.23265306122449,"one","safe"
14,0.640238807555431,0.252040816326531,"one","safe"
15,0.630422141279892,0.271428571428571,"one","safe"
16,0.620605475004354,0.290816326530612,"one","safe"
17,0.610788808728815,0.310204081632653,"one","safe"
18,0.600972142453277,0.329591836734694,"one","safe"
19,0.591155476177738,0.348979591836735,"one","evade"
20,0.5813388099022,0.368367346938775,"one","evade"
21,0.571522143626662,0.387755102040816,"one","evade"
22,0.561705477351123,0.407142857142857,"one","evade"
23,0.551888811075585,0.426530612244898,"one","evade"
24,0.542072144800046,0.445918367346939,"one","evade"
25,0.532255478524508,0.46530612244898,"one","evade"
26,0.522438812248969,0.48469387755102,"one","evade"
27,0.512622145973431,0.504081632653061,"one","evade"
28,0.502805479697893,0.523469387755102,"one","evade"
29,0.492988813422354,0.542857142857143,"one","evade"
30,0.483172147146816,0.562244897959184,"one","evade"
31,0.473355480871277,0.581632653061224,"one","evade"
32,0.463538814595739,0.601020408163265,"one","evade"
33,0.453722148320201,0.620408163265306,"one","evade"
34,0.443905482044662,0.639795918367347,"one","evade"
35,0.434088815769124,0.659183673469388,"one","evade"
36,0.424272149493585,0.678571428571429,"one","evade"
37,0.414455483218047,0.697959183673469,"one","evade"
38,0.404638816942508,0.71734693877551,"one","evade"
39,0.39482215066697,0.736734693877551,"one","evade"
40,0.385005484391432,0.756122448979592,"one","evade"
41,0.375188818115893,0.775510204081633,"one","evade"
42,0.365372151840355,0.794897959183673,"one","evade"
43,0.355555485564816,0.814285714285714,"one","evade"
44,0.345738819289278,0.833673469387755,"one","evade"
45,0.335922153013739,0.853061224489796,"one","evade"
46,0.326105486738201,0.872448979591837,"one","evade"
47,0.316288820462663,0.891836734693878,"one","evade"
48,0.306472154187124,0.911224489795918,"one","evade"
49,0.296655487911586,0.930612244897959,"one","evade"
50,0.286838821636047,0.95,"one","evade"
1,0.821534589553873,0.538443827070296,"two","random"
2,0.801534589553873,0.558443827070296,"two","random"
3,0.781534589553873,0.578443827070296,"two","random"
4,0.801534589553873,0.558443827070296,"two","random"
5,0.781534589553873,0.538443827070296,"two","random"
6,0.761534589553873,0.558443827070296,"two","random"
7,0.781534589553873,0.578443827070296,"two","random"
8,0.761534589553873,0.598443827070296,"two","random"
9,0.781534589553873,0.578443827070296,"two","random"
10,0.761534589553873,0.558443827070296,"two","random"
11,0.781534589553873,0.578443827070296,"two","random"
12,0.801534589553873,0.598443827070296,"two","random"
13,0.781534589553873,0.578443827070296,"two","random"
14,0.761534589553873,0.598443827070296,"two","random"
15,0.781534589553873,0.618443827070296,"two","random"
16,0.761534589553873,0.638443827070296,"two","random"
17,0.741534589553873,0.618443827070296,"two","random"
18,0.721534589553873,0.598443827070296,"two","random"
19,0.741534589553873,0.578443827070296,"two","pursue"
20,0.731698378390422,0.561029782452574,"two","pursue"
21,0.720649257059249,0.544358942107558,"two","pursue"
22,0.708236087317956,0.528677321752064,"two","pursue"
23,0.694309911094841,0.51432247532994,"two","pursue"
24,0.678755448180349,0.501750336154697,"two","pursue"
25,0.661551966802993,0.491550324953773,"two","pursue"
26,0.642868244759183,0.484414602804639,"two","pursue"
27,0.623160156663866,0.481010008316712,"two","pursue"
28,0.603173520462615,0.481741016770052,"two","pursue"
29,0.583755766193704,0.48653171809159,"two","pursue"
30,0.565560486781572,0.494834236210478,"two","pursue"
31,0.548881581901449,0.505871180171548,"two","pursue"
32,0.533702312139027,0.518893843857585,"two","pursue"
33,0.519837624733121,0.533308088310087,"two","pursue"
34,0.507051117996376,0.54868681535335,"two","pursue"
35,0.495117392519506,0.564736307440101,"two","pursue"
36,0.48384541224695,0.581257277772837,"two","pursue"
37,0.473082191291816,0.598114118362667,"two","pursue"
38,0.462708691534057,0.615213548258888,"two","pursue"
39,0.452633620208185,0.632490496420487,"two","pursue"
40,0.442787427632836,0.649898899327393,"two","pursue"
41,0.433117246208269,0.667405686331751,"two","pursue"
42,0.423582874214394,0.684986805485047,"two","pursue"
43,0.414153682967512,0.702624559095689,"two","pursue"
44,0.404806271163303,0.720305789046192,"two","pursue"
45,0.395522699034448,0.738020621490455,"two","pursue"
46,0.386289162896182,0.755761585680243,"two","pursue"
47,0.377095000525138,0.773522987040915,"two","pursue"
48,0.367931943789805,0.791300455681446,"two","pursue"
49,0.358793555745661,0.809090617680558,"two","pursue"
50,0.349674805400446,0.826890853413313,"two","pursue"
